GENUS,SPEC,DATE,SEX,LAT_O,LONG_O,ERROR_O,LAT_HR,LONG_HR,ERROR_HR
LASIURUS,CINEREUS,7/5/1980,M,31.034282,-115.46491,3,31.014394,-115.475821,1
LASIURUS,CINEREUS,7/5/1980,M,31.034282,-115.46491,3,31.014394,-115.475821,1
LASIURUS,CINEREUS,7/6/1980,M,31.034282,-115.46491,3,31.014394,-115.475821,1
LASIURUS,CINEREUS,7/6/1980,M,31.034282,-115.46491,3,31.014394,-115.475821,1
LASIURUS,CINEREUS,7/9/1980,M,31.034282,-115.46491,3,31.014394,-115.475821,1
LASIURUS,CINEREUS,7/9/1980,M,31.034282,-115.46491,3,31.014394,-115.475821,1
LASIURUS,CINEREUS,7/9/1980,M,31.034282,-115.46491,3,31.014394,-115.475821,1
LASIURUS,CINEREUS,4/26/1962,U,28.933333,-113.566667,3,28.94779,-113.559798,1
LASIURUS,CINEREUS,10/11/2026,M,32.048889,-115.905556,3,32.048889,-115.905556,1
LASIURUS,CINEREUS,5/26/1982,M,32.239167,-116.574444,3,31.014405,-115.497233,1
LASIURUS,CINEREUS,4/4/1980,F,26.25,-111.75,3,26.25,-111.75,1
LASIURUS,CINEREUS,5/22/1965,M,23.537222,-109.496111,3,23.537222,-109.496111,1
LASIURUS,CINEREUS,5/23/1965,M,23.537222,-109.496111,3,23.537222,-109.496111,1
LASIURUS,CINEREUS,5/26/1965,F,23.537222,-109.496111,3,23.537222,-109.496111,1
LASIURUS,CINEREUS,5/26/1965,M,23.537222,-109.496111,3,23.537222,-109.496111,1
LASIURUS,CINEREUS,5/27/1965,M,23.537222,-109.496111,3,23.537222,-109.496111,1
LASIURUS,CINEREUS,5/27/1965,F,23.537222,-109.496111,3,23.537222,-109.496111,1
LASIURUS,CINEREUS,5/27/1965,M,23.537222,-109.496111,3,23.537222,-109.496111,1
LASIURUS,CINEREUS,11/20/1977,M,23.537222,-109.496111,3,23.563477,-110.065562,1
LASIURUS,CINEREUS,5/6/1975,F,28.583333,-106.233333,11,28.798502,-105.943406,2
LASIURUS,CINEREUS,5/9/1975,F,28.583333,-106.233333,11,28.798502,-105.943406,2
LASIURUS,CINEREUS,6/25/1957,M,26.866667,-105.85,11,28.635503,-105.981803,1
LASIURUS,CINEREUS,6/25/1957,M,26.866667,-105.85,11,28.635503,-105.981803,1
LASIURUS,CINEREUS,6/27/1957,M,26.866667,-105.85,11,28.635503,-105.981803,1
LASIURUS,CINEREUS,6/28/1957,M,26.866667,-105.85,11,28.635503,-105.981803,1
LASIURUS,CINEREUS,6/29/1957,M,26.866667,-105.85,11,28.635503,-105.981803,1
LASIURUS,CINEREUS,6/29/1957,M,26.866667,-105.85,11,28.635503,-105.981803,1
LASIURUS,CINEREUS,6/29/1957,M,26.866667,-105.85,11,28.635503,-105.981803,1
LASIURUS,CINEREUS,6/29/1957,M,26.866667,-105.85,11,28.635503,-105.981803,1
LASIURUS,CINEREUS,6/29/1957,M,26.866667,-105.85,11,28.635503,-105.981803,1
LASIURUS,CINEREUS,6/29/1957,M,26.866667,-105.85,11,28.635503,-105.981803,1
LASIURUS,CINEREUS,6/18/1959,M,29.55,-106.8,10,29.485717,-106.763913,1
LASIURUS,CINEREUS,9/9/1968,M,30.416667,-107.916667,10,30.532424,-107.906397,1
LASIURUS,CINEREUS,9/9/1968,M,30.416667,-107.916667,10,30.532424,-107.906397,1
LASIURUS,CINEREUS,9/9/1968,F,30.416667,-107.916667,10,30.532424,-107.906397,1
LASIURUS,CINEREUS,9/9/1968,F,30.416667,-107.916667,10,30.532424,-107.906397,1
LASIURUS,CINEREUS,9/9/1968,M,30.416667,-107.916667,10,30.532424,-107.906397,1
LASIURUS,CINEREUS,9/30/1967,M,30.416667,-107.916667,10,30.532424,-107.906397,1
LASIURUS,CINEREUS,9/30/1967,M,30.416667,-107.916667,10,30.532424,-107.906397,1
LASIURUS,CINEREUS,9/30/1967,M,30.416667,-107.916667,10,30.532424,-107.906397,1
LASIURUS,CINEREUS,9/30/1967,F,30.416667,-107.916667,10,30.532424,-107.906397,1
LASIURUS,CINEREUS,9/10/1968,M,30.316667,-108.083333,8,30.331003,-108.174595,1
LASIURUS,CINEREUS,9/10/1968,M,30.316667,-108.083333,8,30.331003,-108.174595,1
LASIURUS,CINEREUS,6/13/1957,M,28.633333,-106.083333,5,28.712828,-106.083585,2
LASIURUS,CINEREUS,6/24/1892,M,28.2,-106.466667,5,31.318081,-108.74698,5
LASIURUS,CINEREUS,9/11/1972,F,28.633333,-106.083333,5,28.633333,-106.083333,5
LASIURUS,CINEREUS,3/24/1963,F,29.45,-106.383333,3,29.46478,-106.382638,1
LASIURUS,CINEREUS,6/18/1959,U,29.566667,-104.416667,3,29.556964,-104.537757,1
LASIURUS,CINEREUS,7/16/1964,M,26.866667,-105.85,3,26.857924,-105.831102,2
LASIURUS,CINEREUS,7/17/1964,M,26.866667,-105.85,3,26.857924,-105.831102,2
LASIURUS,CINEREUS,7/17/1964,M,26.866667,-105.85,3,26.857924,-105.831102,2
LASIURUS,CINEREUS,7/17/1964,M,26.866667,-105.85,3,26.857924,-105.831102,2
LASIURUS,CINEREUS,7/13/1983,M,25.416667,-101,12.5,25.579284,-101.078854,2
LASIURUS,CINEREUS,3/29/1952,F,27.55,-101.633333,11,28.299878,-101.502174,10
LASIURUS,CINEREUS,4/15/1951,U,26.516667,-101.216667,11,25.700474,-101.133273,1
LASIURUS,CINEREUS,4/18/1951,F,26.516667,-101.216667,11,25.658685,-101.1145,1
LASIURUS,CINEREUS,8/2/1983,M,27.483333,-103.516667,10,27.48895,-103.55474,1
LASIURUS,CINEREUS,8/2/1983,M,27.483333,-103.516667,10,27.48895,-103.55474,1
LASIURUS,CINEREUS,5/15/1979,F,27.316667,-102.4,3.8,27.302371,-102.454959,1
LASIURUS,CINEREUS,5/15/1979,F,27.316667,-102.4,3.8,27.302371,-102.454959,1
LASIURUS,CINEREUS,5/15/1979,M,27.316667,-102.4,3.8,27.302371,-102.454959,1
LASIURUS,CINEREUS,7/14/1983,M,25.43791,-100.752666,1,25.43791,-100.752666,1
LASIURUS,CINEREUS,6/20/1963,M,19.4,-99.15,10,19.393986,-99.154017,2
LASIURUS,CINEREUS,4/8/1964,F,19.4,-99.15,10,19.514513,-99.138384,1
LASIURUS,CINEREUS,4/30/1987,M,19.4,-99.15,10,19.453259,-99.171635,1
LASIURUS,CINEREUS,5/22/1998,M,19.4,-99.15,10,19.327829,-99.130563,1
